HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/PS3_GAME/USRDIR/BOOT.BIN', 0x1) failed: error 0x3
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/../
LDR: ! /dev_usb/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: !  
LDR: ! Title: Dante's Inferno™ HDD EN/FR/ES
LDR: ! Serial: NPEB00548
G: W rfile_t::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/NPEB00548/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! loader::init() failed: Broken file
MEM: ! Initializing memory: g_base_addr = 0x7ec0c20000, g_priv_addr = 0x7fc0c20000
MEM: ! Memory initialized.
LDR: ! Imported function 'cellSpursShutdownWorkload' in 'cellSpurs' module (0xef56cc)
LDR: ! Imported function 'cellSpursAttributeSetSpuThreadGroupType' in 'cellSpurs' module (0xef56ec)
LDR: ! Imported function 'cellSpursInitializeWithAttribute' in 'cellSpurs' module (0xef570c)
LDR: ! Imported function 'cellSpursAttachLv2EventQueue' in 'cellSpurs' module (0xef572c)
LDR: ! Imported function 'cellSpursAddWorkloadWithAttribute' in 'cellSpurs' module (0xef574c)
LDR: ! Imported function 'cellSpursFinalize' in 'cellSpurs' module (0xef576c)
LDR: ! Imported function '_cellSpursWorkloadAttributeInitialize' in 'cellSpurs' module (0xef578c)
LDR: ! Imported function 'cellSpursReadyCountStore' in 'cellSpurs' module (0xef57ac)
LDR: W Unknown module 'cellSync'
LDR: ! Imported function 'cellSyncMutexUnlock' in 'cellSync' module (0xef57cc)
LDR: ! Imported function 'cellSyncMutexInitialize' in 'cellSync' module (0xef57ec)
LDR: ! Imported function 'cellSyncMutexTryLock' in 'cellSync' module (0xef580c)
LDR: ! Imported function 'sys_lwmutex_lock' in 'sysPrxForUser' module (0xef582c)
LDR: ! Imported function 'sys_lwmutex_unlock' in 'sysPrxForUser' module (0xef584c)
LDR: ! Imported function 'sys_ppu_thread_create' in 'sysPrxForUser' module (0xef586c)
LDR: ! Imported function '_sys_process_atexitspawn' in 'sysPrxForUser' module (0xef588c)
LDR: ! Imported function 'sys_lwmutex_create' in 'sysPrxForUser' module (0xef58ac)
LDR: ! Imported function 'sys_ppu_thread_get_id' in 'sysPrxForUser' module (0xef58cc)
LDR: ! Imported function 'sys_prx_register_library' in 'sysPrxForUser' module (0xef58ec)
LDR: ! Imported function 'sys_process_is_stack' in 'sysPrxForUser' module (0xef590c)
LDR: ! Imported function 'sys_initialize_tls' in 'sysPrxForUser' module (0xef592c)
LDR: ! Imported function 'sys_time_get_system_time' in 'sysPrxForUser' module (0xef594c)
LDR: ! Imported function '_sys_process_at_Exitspawn' in 'sysPrxForUser' module (0xef596c)
LDR: ! Imported function 'sys_prx_exitspawn_with_level' in 'sysPrxForUser' module (0xef598c)
LDR: ! Imported function 'sys_ppu_thread_exit' in 'sysPrxForUser' module (0xef59ac)
LDR: ! Imported function 'sys_lwmutex_destroy' in 'sysPrxForUser' module (0xef59cc)
LDR: ! Imported function 'sys_spu_image_close' in 'sysPrxForUser' module (0xef59ec)
LDR: ! Imported function 'sys_process_exit' in 'sysPrxForUser' module (0xef5a0c)
LDR: ! Imported function 'sys_spu_image_import' in 'sysPrxForUser' module (0xef5a2c)
HLE: ! sysPrxForUser: Thread Local Storage initialized (g_tls_start=0x1664000, user_size=0x804)
*** TLS segment addr: 0x011d3198
*** TLS segment size: 0x00000024
LDR: E 'BreakPoints.dat' is broken (version=0xdf80, break_count=0x0, marked_count=0x2d603890, length=0x6)
HLE: W {PPU[0x1] Thread (main_thread)[0x002cad70]} sys_memory: sys_memory_get_user_memory_size(mem_info_addr=0xd003fd30)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0011: CELL_SYSMODULE_AUDIO)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0015: CELL_SYSMODULE_SYSUTIL)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0031: CELL_SYSMODULE_AVCONF_EXT)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x000d: CELL_SYSMODULE_SYNC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x000e: CELL_SYSMODULE_FS)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0010: CELL_SYSMODULE_GCM_SYS)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0017: CELL_SYSMODULE_IO)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x003e: CELL_SYSMODULE_SYSUTIL_GAME)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0014: CELL_SYSMODULE_NETCTL)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0000: CELL_SYSMODULE_NET)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0016: CELL_SYSMODULE_SYSUTIL_NP)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0044: CELL_SYSMODULE_SYSUTIL_NP_COMMERCE2)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0004: CELL_SYSMODULE_HTTPS)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0009: CELL_SYSMODULE_RTC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0022: CELL_SYSMODULE_MIC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0xf019: CELL_SYSMODULE_ADEC_CELP)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0xf00a: CELL_SYSMODULE_CELPENC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0xf035: CELL_SYSMODULE_SYSUTIL_NP_TROPHY)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x0018: CELL_SYSMODULE_PNGDEC)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4f8c]} cellSysmodule: cellSysmoduleLoadModule(id=0x003f: CELL_SYSMODULE_BGDL)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef47ec]} sys_net: sys_net_initialize_network_ex(param_addr=0xd003fd38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef4bcc]} cellNetCtl: cellNetCtlInit()
HLE: W {PPU[0x1] Thread (main_thread)[0x002caefc]} sys_spu: sys_spu_initialize(max_usable_spu=6, max_raw_spu=0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef456c]} cellGcmSys: _cellGcmInitBody(context_addr=0x1624d78, cmdSize=0x800000, ioSize=0xf000000, ioAddress=0x20000000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef456c]} cellGcmSys: *** local memory(addr=0xc0000000, size=0xf900000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef456c]} cellGcmSys: cellGcmInit(): 256MB io address space used
RSX: ! {RSXThread} RSX thread started
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624b90, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624318, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624340, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624368, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624250, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1624278, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16242a0, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16242c8, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x16242f0, attr=*0xf18168)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x13b9f38, attr=*0xd003fbb0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x13c5a70, attr=*0xd003fbb0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x13c5a48, attr=*0xd003fbf0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef58ac]} sysPrxForUser: sys_lwmutex_create(lwmutex=*0x1660388, attr=*0xd003fbd0)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x1612760, attr=*0xd003faf0, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x16127a0, attr=*0xd003fb70, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x14c3160, attr=*0xd003fa30)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x14c3174, attr=*0xd003fa38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x14c3170, mutex_id=0x13, attr=*0xd003fa20)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x14a2138, attr=*0xd003fa70)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x14a2148, attr=*0xd003fa70)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x1474e50, attr=*0xd003fa38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x1474e4c, mutex_id=0x17, attr=*0xd003fa20)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x1474e60, attr=*0xd003fa38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x1474e5c, mutex_id=0x19, attr=*0xd003fa20)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x1474660, attr=*0xd003f9f8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x147465c, mutex_id=0x1b, attr=*0xd003f9e0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x146e3d8, attr=*0xd003f990)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x146e3ec, attr=*0xd003f998)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x146e3e8, mutex_id=0x1e, attr=*0xd003f980)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x146e3fc, attr=*0xd003f998)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x146e3f8, mutex_id=0x20, attr=*0xd003f980)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x146e420, attr=*0xd003f990)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x146e434, attr=*0xd003f998)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x146e430, mutex_id=0x23, attr=*0xd003f980)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x146e444, attr=*0xd003f998)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x146e440, mutex_id=0x25, attr=*0xd003f980)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x1467d40, attr=*0xd003fac0, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x1428c28, attr=*0xd003f9e0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x14243c0, attr=*0xd003fa18)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x14243bc, mutex_id=0x29, attr=*0xd003fa00)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x1410e38, attr=*0xd003f980)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x1410db0, attr=*0xd003f9c0, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x14104e0, attr=*0xd003fa50)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x13f0498, attr=*0xd003fa50)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef52cc]} cellSysutil: cellSysutilRegisterCallback(slot=0, func_addr=0x114e960, userdata=0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef3ccc]} cellGame: cellGameBootCheck(type=*0xd003fa54, attributes=*0xd003fa50, size=*0xd003fa5c, dirName=*0x0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef3cac]} cellGame: cellGameContentPermit(contentInfoPath=*0xd003fad0, usrdirPath=*0xd003fb50)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef3cac]} cellGame: cellGameContentPermit(): path_set=1, contentInfo='/dev_hdd0/game/NPEB00548', usrdir='/dev_hdd0/game/NPEB00548/USRDIR'
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x208000f0, attr=*0xd003ee50)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x20800158, attr=*0xd003eee0, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff6f8, attr=*0xd003eb80)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff72c, attr=*0xd003eb88)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x2eeff728, mutex_id=0x32, attr=*0xd003eb70)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x16118e8, attr=*0xd003eac8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x16118e4, mutex_id=0x34, attr=*0xd003eab0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sysPrxForUser: sys_ppu_thread_create(thread_id=*0x16118b8, entry=0x11847f8, arg=0x16118b8, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x16118f4)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: _sys_ppu_thread_create(thread_id=*0x16118b8, param=*0xd003ebb8, arg=0x16118b8, unk=0x0, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x16118f4)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: sys_ppu_thread_start(thread_id=0x36)
HLE: W {PPU[0x36] Thread ()[0x00864218]} sys_cond: sys_cond_create(cond_id=*0x2eeff710, mutex_id=0x31, attr=*0xd005fc38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff7a8, attr=*0xd003eb80)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff7dc, attr=*0xd003eb88)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x2eeff7d8, mutex_id=0x39, attr=*0xd003eb70)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x1611948, attr=*0xd003eac8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x1611944, mutex_id=0x3b, attr=*0xd003eab0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sysPrxForUser: sys_ppu_thread_create(thread_id=*0x1611918, entry=0x11847f8, arg=0x1611918, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x1611954)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: _sys_ppu_thread_create(thread_id=*0x1611918, param=*0xd003ebb8, arg=0x1611918, unk=0x0, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x1611954)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: sys_ppu_thread_start(thread_id=0x3d)
HLE: W {PPU[0x3d] Thread ()[0x00864218]} sys_cond: sys_cond_create(cond_id=*0x2eeff7c0, mutex_id=0x38, attr=*0xd006fc38)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862fd0]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff898, attr=*0xd003eb80)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x2eeff8cc, attr=*0xd003eb88)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x2eeff8c8, mutex_id=0x40, attr=*0xd003eb70)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862760]} sys_mutex: sys_mutex_create(mutex_id=*0x16119a8, attr=*0xd003eac8)
HLE: W {PPU[0x1] Thread (main_thread)[0x00862834]} sys_cond: sys_cond_create(cond_id=*0x16119a4, mutex_id=0x42, attr=*0xd003eab0)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sysPrxForUser: sys_ppu_thread_create(thread_id=*0x1611978, entry=0x11847f8, arg=0x1611978, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x16119b4)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: _sys_ppu_thread_create(thread_id=*0x1611978, param=*0xd003ebb8, arg=0x1611978, unk=0x0, prio=999, stacksize=0x10000, flags=0x0, threadname=*0x16119b4)
HLE: W {PPU[0x1] Thread (main_thread)[0x00ef586c]} sys_ppu_thread: sys_ppu_thread_start(thread_id=0x44)
HLE: W {PPU[0x44] Thread ()[0x00864218]} sys_cond: sys_cond_create(cond_id=*0x2eeff8b0, mutex_id=0x3f, attr=*0xd007fc38)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb0c0, attr=*0xd003ee60, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb118, attr=*0xd003ee60, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb290, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb458, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb620, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb7e8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeb9b0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeebb78, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeebd40, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeebf08, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec0d0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec298, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec460, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec628, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec7f0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeec9b8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeecb80, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeecd48, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeecf10, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed0d8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed2a0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed468, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed630, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed7f8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeed9c0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeedb88, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeedd50, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeedf18, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee0e0, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee2a8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee470, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee638, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee800, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeee9c8, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeeb90, attr=*0xd003ee80, initial_val=0, max_val=100000)
HLE: W {PPU[0x1] Thread (main_thread)[0x008611c0]} sys_semaphore: sys_semaphore_create(sem=*0x2eeeed58, attr=*0xd003ee80, initial_val=0, max_val=100000)
