HLE: ! path: /dev_hdd0/game/
LDR: E PSFLoader::Load() failed: unknown magic (0x0)
LDR: ! Loading 'D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/USRDIR/BOOT.BIN'...
G: W fs::file::open('D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/PS3_GAME/dev_bdvd.path', 0x1) failed: error 0x2
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_usb000/ -> D:/Emulateurs/Rpcs3/dev_usb000/
LDR: ! /dev_flash/ -> D:/Emulateurs/Rpcs3/dev_flash/
LDR: ! /host_root/ -> 
LDR: ! /dev_hdd0/ -> D:/Emulateurs/Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:/Emulateurs/Rpcs3/dev_hdd1/
LDR: ! /dev_bdvd/ -> D:/Emulateurs/Rpcs3/dev_hdd0/game/BLES00978-[Dragon Ball Raging Blast 2]/
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
HLE: E {PPU[0x83] Thread (sp_job_server_exec_spu_thread)[0x005ea460]} cellFiber error: cellFiberPpuRunFibers
